;player;club;date;taille;poid;meilleur_pied;age;valeur;salaire;controles;dribbles;marquage;tacle_glisse;tacle_debout;engagement;reactivite;placement;intercept;vista;discipline;passe_centre;passe_courte;passe_longue;phy_acceleration;phy_endurance;phy_force; phy_equilibre;phy_vitesse;phy_agilite;phy_detente;tir_tete;tir_frappe;tir_finition;tir_loin;tir_effet;tir_precision;tir_penalty;tir_volee;gardien_placement;gardien_plongeon;gardien_main;gardien_pied;gardien_reflexe;phy_equilibre
0;Manuel Neuer;FC Bayern Munich;4 Février 2021 ;193 cm;93 kg;Droit;34;€20.500.000;€135.000;46;30;17;11;10;29;87;12;30;70;70;15;60;68;54;43;80;;60;51;77;25;68;13;16;14;11;47;11;88;88;88;91;89;35
0;Benjamin Pavard;FC Bayern Munich;4 Février 2021 ;186 cm;81 kg;Droit;24;€22.000.000;€55.000;77;68;76;80;79;69;76;58;78;66;76;77;75;76;68;79;75;;69;66;86;80;71;43;53;63;51;51;70;7;9;7;15;15;66
0;Jérôme Boateng;FC Bayern Munich;4 Février 2021 ;190 cm;94 kg;Droit;32;€29.000.000;€100.000;70;64;84;86;87;84;85;47;82;78;84;69;77;84;66;60;88;;79;56;74;84;78;34;58;53;31;46;52;6;7;12;15;5;52
0;David Alaba;FC Bayern Munich;4 Février 2021 ;180 cm;78 kg;Gauche;28;€31.500.000;€95.000;83;77;85;82;83;74;87;73;84;78;84;80;85;80;78;75;76;;76;76;82;76;82;60;78;77;85;79;67;15;5;7;14;9;77
0;Alphonso Davies;FC Bayern Munich;4 Février 2021 ;183 cm;75 kg;Gauche;20;€53.000.000;€40.000;79;85;77;79;77;77;79;75;76;68;74;73;77;58;96;79;74;;96;85;77;64;71;67;63;67;44;60;59;5;11;11;6;14;82
0;Joshua Kimmich;FC Bayern Munich;4 Février 2021 ;177 cm;75 kg;Droit;25;€110.000.000;€150.000;85;83;85;79;85;89;88;80;84;85;85;91;87;89;77;95;68;;66;84;79;72;78;68;84;85;61;44;69;15;8;15;7;15;84
0;Leon Goretzka;FC Bayern Munich;4 Février 2021 ;189 cm;82 kg;Droit;25;€89.500.000;€120.000;86;84;74;76;83;81;87;84;84;83;82;75;86;82;77;87;88;;83;76;79;86;85;80;84;76;75;60;69;11;13;8;15;9;70
0;Serge Gnabry;FC Bayern Munich;4 Février 2021 ;176 cm;77 kg;Droit;25;€88.000.000;€110.000;83;88;45;43;44;63;86;86;38;83;80;79;82;78;90;78;69;;77;86;65;42;87;87;82;74;62;68;83;9;14;10;10;7;88
0;Kingsley Coman;FC Bayern Munich;4 Février 2021 ;180 cm;76 kg;Droit;24;€73.500.000;€100.000;88;88;29;21;27;38;84;85;23;81;78;79;80;74;94;69;64;;94;89;73;61;80;75;73;83;70;70;77;3;5;3;5;5;84
0;Thomas Müller;FC Bayern Munich;4 Février 2021 ;185 cm;76 kg;Droit;31;€77.000.000;€140.000;84;76;47;46;57;62;94;96;58;85;84;85;84;82;68;86;66;;68;74;77;81;78;88;82;81;59;70;84;14;6;7;11;14;71
0;Robert Lewandowski;FC Bayern Munich;4 Février 2021 ;185 cm;81 kg;Droit;32;€124.500.000;€270.000;88;85;35;19;42;81;93;95;49;81;88;71;85;70;77;76;86;;79;77;84;90;90;95;87;79;85;92;89;8;15;6;12;10;82
0;Douglas Costa;FC Bayern Munich;4 Février 2021 ;172 cm;75 kg;Gauche;30; ; ;90;91;45;34;38;55;80; 1;48; 2;80; 2; 1;65; 1; 1;56;; 5;92;60;50;86; 1;80;84;78;77;76;12;13;15;9;5;91
0;Corentin Tolisso;FC Bayern Munich;4 Février 2021 ;181 cm;81 kg;Droit;26;€25.000.000;€75.000;82;76;75;72;77;81;82;79;76;80;75;67;82;84;72;77;76;;69;76;83;83;84;75;82;69;73;70;62;9;7;10;14;14;76
0;Joshua Zirkzee;Parma;4 Février 2021 ;193 cm;89 kg;Droit;19; ;€15.000;69; 1;10;16;14;43; 1;69;14;53;51;35;59;33; 4;63; 1;;69; 1;66;67;67; 1;52;61;61;50;54;8;6;11;12;14;60
0;Javi Martínez;FC Bayern Munich;4 Février 2021 ;189 cm;89 kg;Droit;32;€12.500.000;€65.000;70;60;83;82;82;85;79;54;82;72;77;58;74;73;34;55;83;;39;34;81;85;75;43;61;46;45;52;57;11;5;12;9;8;45
0;Bouna Sarr;FC Bayern Munich;4 Février 2021 ;177 cm;69 kg;Droit;29;€9.500.000;€60.000;74;78;72;72;71;76;77;78;72;76;77;77;78;72;81;88;69;;79;74;64;67;78;67;70;70;44;68;61;8;9;15;14;12;75
0;Tanguy Nianzou;FC Bayern Munich;4 Février 2021 ;187 cm;83 kg;Droit;18;€4.100.000;€9.500;65;62;70;68;73;70;65;36;69;50;65;37;69;66;70;69;77;;68;55;76;72;57;32;25;41;31;42;37;8;6;14;9;7;56
0;Marc Roca;FC Bayern Munich;4 Février 2021 ;184 cm;77 kg;Gauche;24;€14.500.000;€49.000;77;72;73;71;73;71;72;60;75;80;74;66;82;87;55;72;66;;61;66;57;42;66;59;69;66;52;69;44;10;12;11;11;8;62
0;Leroy Sané;FC Bayern Munich;4 Février 2021 ;183 cm;80 kg;Gauche;25;€73.500.000;€100.000;84;88;36;35;32;61;79;84;34;82;80;83;81;64;91;70;69;;91;84;64;72;87;81;78;83;82;71;85;9;8;12;9;14;78
0;Eric Maxim Choupo-Moting;FC Bayern Munich;4 Février 2021 ;191 cm;90 kg;Droit;31;€4.800.000;€60.000;76;80;31;20;36;55;74;76;40;67;75;65;74;63;71;73;78;;73;73;68;72;77;73;64;74;44;68;73;16;9;9;9;6;61
0;Alexander Nübel;FC Bayern Munich;4 Février 2021 ;193 cm;88 kg;Droit;24;€7.000.000;€34.000;20;18;23;13;14;23;70;10;20;22;32;15;29;18;49;39;70;;46;34;61;13;53;18;18;20;20;16;13;76;75;65;71;85;58
0;Niklas Süle;FC Bayern Munich;4 Février 2021 ;195 cm;99 kg;Droit;25;€41.500.000;€70.000;62;43;82;82;87;83;79;26;81;57;75;34;78;69;50;63;92;;80;33;38;84;77;22;62;28;30;32;33;7;15;7;14;15;32
0;Lucas Hernández;FC Bayern Munich;4 Février 2021 ;184 cm;79 kg;Gauche;24;€46.000.000;€75.000;79;65;81;86;84;87;85;62;83;63;76;78;78;63;77;75;77;;76;70;85;82;62;53;51;59;39;42;46;14;10;7;8;10;68
0;Chris Richards;TSG Hoffenheim;4 Février 2021 ;188 cm;87 kg;Droit;20;€2.500.000;€12.500;58;45;63;65;69;62;60;38;62;45;59;49;59;52;73;73;74;;77;67;90;73;36;23;22;35;24;37;26;7;13;5;13;6;58
0;Jamal Musiala;FC Bayern Munich;4 Février 2021 ;180 cm;68 kg;Droit;17; ; ;81; 4;29;29;28; 1; 1; 1;27; 2; 4; 2; 1; 2;77;49;43;;75; 2;47;31; 3; 1; 2; 1;38;42; 1;8;6;9;8;11;69
0;Roman Bürki;Borussia Dortmund;4 Février 2021 ;187 cm;85 kg;Droit;30;€32.500.000;€65.000;23;12;11;16;13;35;82;10;18;50;58;15;37;24;44;36;75;;50;49;74;17;54;8;14;13;12;20;13;81;85;82;72;87;52
0;Thomas Meunier;Borussia Dortmund;4 Février 2021 ;190 cm;82 kg;Droit;29;€16.000.000;€55.000;76;75;74;78;77;73;78;76;76;71;77;81;74;73;72;88;85;;77;63;72;74;80;70;77;75;56;65;77;6;8;13;15;9;47
0;Manuel Akanji;Borussia Dortmund;4 Février 2021 ;187 cm;91 kg;Droit;25;€22.500.000;€46.000;74;69;82;76;82;74;81;37;81;64;75;53;78;68; 1;72;78;;84;69;81;76;75;38;48;54;59;40;42;6;10;9;13;9;65
0;Mats Hummels;Borussia Dortmund;4 Février 2021 ;191 cm;96 kg;Droit;32;€54.500.000;€100.000;80;69;90;87;90;71;88;56;91;80;89;65;82;86;46;65;86;;67;63;70;88;71;55;51;66;53;68;60;5;15;6;10;6;62
0;Raphaël Guerreiro;Borussia Dortmund;4 Février 2021 ;170 cm;71 kg;Gauche;27;€46.000.000;€85.000;88;88;79;78;79;52;86;79;81;85;86;83;87;81;82;77;50;;67;87;53;39;79;79;80;85;82;44;79;11;12;6;8;8;90
