;player;club;date;taille;poid;meilleur_pied;age;valeur;salaire;controles;dribbles;marquage;tacle_glisse;tacle_debout;engagement;reactivite;placement;intercept;vista;discipline;passe_centre;passe_courte;passe_longue;phy_acceleration;phy_endurance;phy_force; phy_equilibre;phy_vitesse;phy_agilite;phy_detente;tir_tete;tir_frappe;tir_finition;tir_loin;tir_effet;tir_precision;tir_penalty;tir_volee;gardien_placement;gardien_plongeon;gardien_main;gardien_pied;gardien_reflexe;phy_equilibre
0;Oliver Kahn;Bayern Munich;24 Août 2005 ;188 cm;90 kg;Droit;36;;;23;21;36;24;;98;93;;;;21;23;24;24;69;57;93;;72;;;35;35;;23.0;;29;;;96;;92;;92;
1;Willy Sagnol;Bayern Munich;24 Août 2005 ;180 cm;78 kg;Droit;28;;;88;77;89;92;;75;94;;;;75;91;67;85;84;85;68;;90;;;77;63;;62.0;;23;;;20;;25;;21;
2;Valérien Ismaël;Bayern Munich;24 Août 2005 ;177 cm;76 kg;Droit;31;;;67;41;88;90;;75;77;;;;88;50;57;69;82;75;85;;82;;;93;78;;48.0;;39;;;21;;20;;23;
3;Lúcio;Bayern Munich;24 Août 2005 ;188 cm;81 kg;Droit;27;;;85;67;91;92;;90;93;;;;95;42;64;48;92;82;89;;88;;;93;88;;53.0;;53;;;20;;24;;21;
4;Philipp Lahm;Bayern Munich;24 Août 2005 ;170 cm;62 kg;Droit;21;;;86;87;82;89;;73;82;;;;81;86;83;66;91;74;44;;92;;;34;62;;49.0;;43;;;22;;21;;23;
5;Martín Demichelis;Bayern Munich;24 Août 2005 ;184 cm;80 kg;Droit;24;;;61;52;83;89;;97;84;;;;50;41;71;70;60;81;92;;66;;;83;31;;48.0;;23;;;20;;20;;23;
6;Sebastian Deisler;Bayern Munich;24 Août 2005 ;182 cm;78 kg;Droit;25;;;87;91;24;41;;50;89;;;;62;90;92;76;90;83;75;;85;;;47;78;;79.0;;79;;;25;;20;;20;
7;Zé Roberto;Bayern Munich;24 Août 2005 ;172 cm;71 kg;Gauche;31;;;96;97;25;49;;34;85;;;;70;92;86;45;91;83;56;;90;;;39;50;;62.0;;42;;;20;;24;;21;
8;Michael Ballack;Bayern Munich;24 Août 2005 ;189 cm;80 kg;Droit;28;;;89;76;54;77;;85;92;;;;77;83;91;90;84;92;90;;88;;;94;89;;89.0;;89;;;21;;21;;20;
9;Claudio Pizarro;Bayern Munich;24 Août 2005 ;184 cm;79 kg;Droit;26;;;80;75;25;43;;50;76;;;;70;49;59;41;80;70;80;;81;;;94;89;;77.0;;92;;;23;;22;;25;
