;team;date;attaque;milieu;defense;budget_transfert
0;Paris Saint-Germain FIFA 21;28 Janvier 2021 ;85;83;81;€130.000.000
1;Olympique Lyonnais FIFA 21;28 Janvier 2021 ;78;78;77;€44.000.000
2;Olympique de Marseille FIFA 21;28 Janvier 2021 ;78;77;77;€14.000.000
3;AS Monaco FIFA 21;28 Janvier 2021 ;79;76;76;€34.500.000
4;LOSC Lille FIFA 21;28 Janvier 2021 ;78;78;76;€14.000.000
5;Stade Rennais FC FIFA 21;28 Janvier 2021 ;75;76;74;€12.000.000
6;Montpellier Hérault SC FIFA 21;28 Janvier 2021 ;79;75;74;€9.000.000
7;OGC Nice FIFA 21;28 Janvier 2021 ;76;74;73;€10.500.000
8;FC Girondins de Bordeaux FIFA 21;28 Janvier 2021 ;74;74;74;€10.500.000
9;Angers SCO FIFA 21;28 Janvier 2021 ;76;75;74;€5.500.000
10;RC Strasbourg Alsace FIFA 21;28 Janvier 2021 ;75;73;74;€8.000.000
11;FC Nantes FIFA 21;28 Janvier 2021 ;70;74;75;€8.500.000
12;AS Saint-Étienne FIFA 21;28 Janvier 2021 ;76;72;74;€12.500.000
13;RC Lens FIFA 21;28 Janvier 2021 ;72;74;72;€8.000.000
14;Stade de Reims FIFA 21;28 Janvier 2021 ;72;72;74;€7.000.000
15;Nîmes Olympique FIFA 21;28 Janvier 2021 ;73;72;72;€4.800.000
16;Stade Brestois 29 FIFA 21;28 Janvier 2021 ;72;72;72;€6.000.000
17;FC Metz FIFA 21;28 Janvier 2021 ;71;72;71;€6.000.000
18;Dijon FCO FIFA 21;28 Janvier 2021 ;73;72;69;€4.600.000
19;FC Lorient FIFA 21;28 Janvier 2021 ;70;71;71;€5.000.000
20;Paris Saint-Germain FIFA 21;10 Décembre 2020 ;84;82;81;€130.000.000
21;Olympique de Marseille FIFA 21;10 Décembre 2020 ;79;77;77;€14.000.000
22;AS Monaco FIFA 21;10 Décembre 2020 ;80;75;75;€34.500.000
23;Olympique Lyonnais FIFA 21;10 Décembre 2020 ;78;78;77;€44.000.000
24;LOSC Lille FIFA 21;10 Décembre 2020 ;77;77;75;€14.000.000
25;Stade Rennais FC FIFA 21;10 Décembre 2020 ;75;76;76;€12.000.000
26;OGC Nice FIFA 21;10 Décembre 2020 ;76;76;72;€10.500.000
27;Montpellier Hérault SC FIFA 21;10 Décembre 2020 ;76;76;73;€9.000.000
28;Angers SCO FIFA 21;10 Décembre 2020 ;75;75;74;€5.500.000
29;RC Strasbourg Alsace FIFA 21;10 Décembre 2020 ;74;74;74;€8.000.000
30;FC Girondins de Bordeaux FIFA 21;10 Décembre 2020 ;73;73;74;€10.500.000
31;FC Nantes FIFA 21;10 Décembre 2020 ;70;74;75;€8.500.000
32;AS Saint-Étienne FIFA 21;10 Décembre 2020 ;76;71;73;€12.500.000
33;Stade de Reims FIFA 21;10 Décembre 2020 ;72;72;74;€7.000.000
34;RC Lens FIFA 21;10 Décembre 2020 ;71;74;71;€8.000.000
35;Stade Brestois 29 FIFA 21;10 Décembre 2020 ;73;71;72;€6.000.000
36;Nîmes Olympique FIFA 21;10 Décembre 2020 ;71;72;72;€4.800.000
37;FC Metz FIFA 21;10 Décembre 2020 ;71;72;71;€6.000.000
38;Dijon FCO FIFA 21;10 Décembre 2020 ;73;72;69;€4.600.000
39;FC Lorient FIFA 21;10 Décembre 2020 ;70;70;70;€5.000.000
40;Paris Saint-Germain FIFA 21;26 Novembre 2020 ;86;82;81;€130.000.000
41;Olympique de Marseille FIFA 21;26 Novembre 2020 ;78;78;77;€14.000.000
42;AS Monaco FIFA 21;26 Novembre 2020 ;80;76;75;€34.500.000
43;Olympique Lyonnais FIFA 21;26 Novembre 2020 ;78;77;77;€44.000.000
